idno,stflife,gndr,cntry
11956,7,2,BG
11962,5,2,BG
11970,7,1,BG
11982,10,1,BG
11987,9,2,BG
11993,7,1,BG
12004,0,2,BG
12008,9,2,BG
12009,NA,2,BG
12013,3,2,BG
12017,6,1,BG
12023,5,2,BG
12026,7,1,BG
12030,10,2,BG
12039,10,2,BG
12068,6,2,BG
12069,2,1,BG
12073,4,2,BG
12078,9,2,BG
12088,5,1,BG
12090,10,1,BG
12091,7,2,BG
12092,4,2,BG
12096,9,1,BG
12116,3,1,BG
12118,10,2,BG
12123,7,1,BG
12125,6,1,BG
12136,8,1,BG
12137,2,1,BG
12155,7,2,BG
12157,10,1,BG
12163,7,2,BG
12173,0,2,BG
12174,2,1,BG
12176,7,2,BG
12180,10,1,BG
12185,5,1,BG
12194,7,2,BG
12200,7,2,BG
12201,1,2,BG
12214,9,1,BG
12216,6,2,BG
12221,5,1,BG
12231,0,2,BG
12232,2,2,BG
12246,8,1,BG
12250,5,1,BG
12254,10,2,BG
12256,8,2,BG
12259,7,2,BG
12262,7,1,BG
12279,2,1,BG
12280,6,2,BG
12284,5,1,BG
12286,5,1,BG
12291,4,1,BG
12306,4,2,BG
12320,5,1,BG
12333,10,1,BG
12337,7,1,BG
12355,7,2,BG
12356,8,2,BG
12362,4,2,BG
12364,5,2,BG
12371,7,1,BG
12380,5,2,BG
12382,8,1,BG
12385,5,2,BG
12386,8,2,BG
12388,7,1,BG
12394,6,1,BG
12412,6,2,BG
12423,10,2,BG
12430,0,2,BG
12438,6,2,BG
12441,9,2,BG
12453,7,1,BG
12459,5,2,BG
12464,8,2,BG
12473,8,2,BG
12488,7,2,BG
12490,7,1,BG
12492,10,1,BG
12493,7,2,BG
12503,0,1,BG
12508,4,2,BG
12517,7,1,BG
12518,6,1,BG
12519,5,1,BG
12524,0,2,BG
12528,5,2,BG
12536,5,2,BG
12546,8,1,BG
12556,1,1,BG
12557,0,2,BG
12563,5,2,BG
12565,9,1,BG
12570,10,2,BG
12571,9,1,BG
12573,8,2,BG
12580,4,2,BG
12588,7,1,BG
12589,10,1,BG
12591,6,2,BG
12604,10,1,BG
12624,6,1,BG
12626,10,2,BG
12627,9,2,BG
12633,7,2,BG
12634,5,1,BG
12657,8,2,BG
12669,7,1,BG
12673,10,1,BG
12678,7,1,BG
12705,2,1,BG
12712,3,2,BG
12715,8,1,BG
12719,5,2,BG
12722,4,1,BG
12725,7,1,BG
12734,10,2,BG
12737,7,1,BG
12738,5,1,BG
12741,5,2,BG
12743,10,2,BG
12749,4,1,BG
12756,1,2,BG
12757,6,2,BG
12768,9,2,BG
12781,6,1,BG
12782,8,1,BG
12788,7,1,BG
12789,2,1,BG
12792,7,1,BG
12794,7,2,BG
12795,9,1,BG
12803,5,1,BG
12819,7,1,BG
12824,8,1,BG
12845,8,2,BG
12846,8,1,BG
12850,5,1,BG
12854,8,2,BG
12863,7,1,BG
12865,10,2,BG
12868,3,1,BG
12883,10,2,BG
12887,7,2,BG
12891,7,1,BG
12893,7,2,BG
12899,1,1,BG
12900,5,2,BG
12901,3,1,BG
12910,8,1,BG
12914,0,2,BG
12915,10,2,BG
12918,10,2,BG
12920,8,1,BG
12924,7,2,BG
12925,0,1,BG
12930,7,2,BG
12934,6,2,BG
12939,6,1,BG
12946,8,2,BG
12948,7,1,BG
12953,0,1,BG
12963,7,1,BG
